                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6617,                 1.3394,                 1.2972,                0.71198,                0.64104,                0.71893,                0.30985,                 1.8667,                 1.9642,                 1.4612,             0.00057778,             0.00057778,             0.00057778
                     35,                   1.67,                 1.3849,                 1.3036,                0.67523,                0.63527,                0.68896,                0.29609,                 1.8713,                 1.9818,                 1.4635,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.6312,                 1.3202,                 1.2704,                0.66306,                0.66095,                 0.7042,                0.30582,                  1.871,                 1.9188,                 1.4591,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.6354,                  1.288,                 1.2446,                0.69648,                0.67529,                  0.727,                0.30911,                 1.8681,                 1.8157,                 1.4629,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.6411,                 1.2951,                 1.2617,                0.71164,                0.68969,                0.73337,                0.32254,                 1.8505,                 1.7126,                 1.4594,             0.00044576,             0.00044576,             0.00044576
                     39,                  1.584,                 1.3193,                 1.2624,                0.71979,                0.70389,                0.74869,                 0.3394,                 1.8493,                 1.6403,                 1.4534,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.6396,                 1.2593,                 1.2408,                0.73063,                0.72279,                0.75667,                0.33776,                 1.8497,                 1.5953,                 1.4513,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.5769,                 1.3521,                 1.2822,                 0.7301,                0.73944,                 0.7622,                 0.3496,                 1.8361,                 1.5437,                 1.4418,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.5946,                 1.3246,                 1.3191,                0.71707,                0.74004,                0.78558,                0.35529,                 1.8297,                 1.5308,                 1.4326,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.5451,                 1.2895,                 1.2497,                0.74368,                0.71756,                0.80009,                0.36206,                 1.8155,                 1.5248,                 1.4263,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.5491,                 1.3109,                 1.2797,                0.73953,                0.72636,                0.79615,                0.36845,                 1.8023,                 1.5276,                 1.4234,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.5426,                 1.2985,                 1.2683,                0.72797,                0.72762,                0.78694,                0.36619,                 1.7968,                 1.5242,                 1.4241,             0.00021471,             0.00021471,             0.00021471
                     46,                  1.523,                 1.3002,                 1.2783,                0.73066,                0.74691,                0.79015,                0.36153,                 1.7924,                 1.5105,                 1.4237,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.5275,                 1.3201,                 1.2776,                0.75019,                0.78276,                0.79503,                 0.3675,                 1.7904,                 1.4859,                 1.4271,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.5064,                 1.2717,                 1.2392,                0.76237,                0.77289,                0.78872,                 0.3713,                 1.7898,                 1.4579,                  1.426,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.4748,                 1.2295,                  1.224,                0.76007,                0.79423,                0.79477,                 0.3763,                 1.7857,                 1.4341,                 1.4244,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.5307,                 1.2933,                 1.2716,                0.78994,                0.79089,                0.79873,                0.37898,                 1.7821,                 1.4123,                 1.4223,             4.9677e-05,             4.9677e-05,             4.9677e-05
